Application
Siemens FloTherm (Duplicate of FlowTherm?)
Simutech for Ansys
Single User Source
Skillsoft
Smart Receiving
Smart Sheets
SMARTOPS (Demised)
Smartsheet
Snag IT Licenses RFQ
Snyk
SOAC
Software as Service Agreement (Supply Watch Subscription)
SolarWinds Monitoring 2023
Solarwinds network configuration manager 2023-2024
Solarwinds renewal
SolidEdge
SolidEdge
SolidWorks
SolidWorks
Solidworks
Solidworks
Solidworks
Solidworks
SolidWorks
Solidworks  Electrical
SolidWorks 3DEXPERIENCE
SolidWorks CAM
SolidWorks Composer
SolidWorks Composer Player
SolidWorks CST Studio Suite
SOLIDWORKS Document Manager API
SolidWorks DraftSight
SolidWorks eDrawings
Solidworks Electrical
SolidWorks Electrical
SolidWorks Electrical 3D
SolidWorks Electrical 3D
SolidWorks Flow Simulation
SolidWorks Flow Simulation
SolidWorks Flow Simulation
SolidWorks Flow Simulation Electronic Cooling
SolidWorks Flow Simulation Electronic Cooling
SolidWorks Inspection
SolidWorks Manage
SolidWorks PCB
Solidworks PDM
SolidWorks PDM
SolidWorks PDM Pro
SolidWorks PDM Standard
SolidWorks Photoview 360 Network Render Client
SolidWorks Plastics Standard
SolidWorks Plastics Standard
Spice circuit simulator
"SPro1.x (EMS, CE, AMS; HT, AD)"
"SPro2.x ( Std Edition SE, HT)"
SSL Share folder server
StoreHouse
Studio 5000 Professiona
SubVersion (SVN)
SubVersion (SVN)
Sumologic 
Supplier RFQ Portal
SVN
Synetics App Library - Q
Synetics Local Apps
Synetics Supplier Portal
Synopsys HSPCIE License perpetual and 24 months support
Synplify
Teledyne contract
Telerik
Test Expert
Test Expert
Test Stand
TestExpert
TestExpert
TestExpert
TestStand (NI)
TestStand (NI)
TestWay
Testway
Testway
Testway
TestWay
tftpd69
Thales CipherTrust
Thales Safenet/Mobilepass+
ThreatLocker
TMS - Time Management System
Transporeon
Trend Micro IMVSA messaging Gateway
Tricentis 
TrueHR
Tufin
Udemy 
Unisoft
Utopia
Valor NPI
"Valor Process Prep (Test Expert, Stencil)"
Valor Trilogy
Valor Vnpi
Valor VPL  Part Library
ValorNPI
Veeam
Vertex STQ
"VIM opentxt (ICC/VIM,Archive Center, 
Approval Portal)"
Viper
"Visio, Brady Workstation, 
Brother P-touch Editor, DYMO Connect"
Vision Development
"Visual Studio (C#, .Net)"
"Visual Studio (C#, .Net)"
Vivado
VMware - globally consolidated subscription
VPAM licenses
VPIphotonics
Web Search Services subscription-BOM Management
Webfiling
WebPlan Adv Planning (Duplicate.  Aka Kinaxis)
Wilder tech MSA
Windchill
windchill
Windchill PDM
Windows Server 2019 License 
WinRunner (Demised)
Winshuttle  (Precisely )
WinShuttle (To be Demised)
Wiz
Wonderbotz Blue Prism 25
Workiva
XBRL service for digital tagging
Xemelgo
"Xemelgo ""Work-In-Process"""
Zemax
Zemax Optic Studio
Zemax Optic Studio
Zoom
Zoominfo
Zscaler
ZWCAD
ZWCAD
